state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
NM,16,37,1,17,36,1,2,52,4293,54,2958,53,215,52,31,54,9,53,0,52,0,53,355,53,70,52,66,53,208,52,190,53,7,52,2,52,471,54,0.708672735984667,53,2958,4174,0.0742147048671039,52,215,2897,0.05290354330708662,52,215,4064,0.15521064301552107,52,70,451,0.7537154989384289,53,355,471,2021-02-28
NV,0,2,60,0,2,60,27,62,8747,62,6294,62,415,62,43,62,61,62,1,62,2,62,616,62,90,62,83,62,412,62,367,62,3,62,5,62,863,62,0.719560992340231,62,6294,8747,0.06593581188433428,62,415,6294,0.04744483823025037,62,415,8747,0.10428736964078796,62,90,863,0.7137891077636153,62,616,863,2021-02-28
NY,5,193,9,5,193,9,171,198,50795,207,39469,207,5518,198,512,207,214,198,9,198,25,198,3623,207,1009,198,950,207,5338,198,4824,207,180,198,49,198,5322,207,0.7770252977655281,207,39469,50795,0.1410459587955626,198,5518,39122,0.11002552241186792,198,5518,50152,0.1945622830698033,198,1009,5186,0.6807591131153702,207,3623,5322,2021-02-28
OH,13,209,10,29,193,10,29,229,32877,232,23733,232,1331,229,174,232,223,229,8,229,75,229,2794,232,307,229,280,232,1272,229,1048,232,59,229,26,229,4144,232,0.7218724336162059,232,23733,32877,0.056513247282608696,229,1331,23552,0.04081194615644068,229,1331,32613,0.07511622216784927,229,307,4087,0.6742277992277992,232,2794,4144,2021-02-28
OK,31,110,12,35,106,12,7,151,11058,153,7867,153,569,151,74,153,80,151,1,151,9,151,843,153,144,151,142,153,517,151,458,153,52,151,42,151,1079,153,0.7114306384517997,153,7867,11058,0.07372376263280643,151,569,7718,0.05242306983600516,151,569,10854,0.140625,151,144,1024,0.7812789620018535,153,843,1079,2021-02-28
OR,2,56,7,2,56,7,10,63,7014,65,5122,65,204,63,21,65,36,63,0,63,30,63,505,65,42,63,31,65,198,63,154,65,6,63,2,63,802,65,0.7302537781579698,65,5122,7014,0.04062935670185222,63,204,5021,0.0297723292469352,63,204,6852,0.05377720870678617,63,42,781,0.6296758104738155,65,505,802,2021-02-28
PA,23,199,6,27,195,6,30,222,33223,228,26314,228,2262,222,213,228,468,222,6,220,31,220,2734,228,406,222,367,228,2212,222,1759,228,50,221,23,221,3716,228,0.7920416578876079,228,26314,33223,0.08672647803082585,222,2262,26082,0.06887731798666301,222,2262,32841,0.11246537396121883,222,406,3610,0.7357373519913886,228,2734,3716,2021-02-28
ID,4,47,1,4,47,1,4,51,3682,52,2148,52,148,51,16,52,3,51,0,51,0,51,167,52,30,51,29,52,144,51,131,52,4,51,3,51,308,52,0.5833785985877241,52,2148,3682,0.07007575757575757,51,148,2112,0.040637012630422846,51,148,3642,0.09933774834437085,51,30,302,0.5422077922077922,52,167,308,2021-02-28
IL,8,170,25,10,168,25,67,198,31942,203,21900,203,1328,198,135,203,357,198,5,198,111,198,2113,203,267,198,222,203,1294,198,995,203,34,198,17,198,3531,203,0.6856176820487133,203,21900,31942,0.06130268199233716,198,1328,21663,0.04204793718139505,198,1328,31583,0.07701182578598212,198,267,3467,0.5984140470121778,203,2113,3531,2021-02-28
IN,12,151,2,13,150,2,2,163,19155,165,12373,165,731,163,67,165,142,163,7,163,6,163,1463,165,137,163,121,165,708,163,461,165,23,163,14,163,2226,165,0.6459410075698251,165,12373,19155,0.05959563019729333,163,731,12266,0.038453445554971065,163,731,19010,0.06293063849333946,163,137,2177,0.6572327044025157,165,1463,2226,2021-02-28
KS,13,127,4,16,124,4,1,141,8619,144,5134,144,264,141,30,144,32,141,1,141,0,141,629,144,59,141,53,144,263,141,223,144,1,141,0,141,864,144,0.5956607495069034,144,5134,8619,0.05191740412979351,141,264,5085,0.03093145869947276,141,264,8535,0.06998813760379596,141,59,843,0.7280092592592593,144,629,864,2021-02-28
