state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used
ME,5,21,8,2,24,8,7,33,2978,34,2108,34,191,33,17,34,15,33,1,33,3,33,246,34,69,33,65,34,187,33,176,34,4,33,0,33,322,34,0.70785762256548,34,2108,2978,0.092225977788508,33,191,2071,0.064988091187479,33,191,2939,0.221153846153846,33,69,312,0.763975155279503,34,246,322,2021/09/10,POINT (-69.06137 45.117911),0,34,1,34,1,34,0,34,3,34,4,34,5,34,3,34,0,34,0,33,3,33,1,33,1,33,2,33,1,33,2,33,5,33,0,33,3,33,221,112,164,46,0,1
MI,3,152,4,5,150,4,12,155,22275,159,17557,159,1513,155,172,159,29,155,0,155,4,155,1926,159,404,155,402,159,1485,155,1405,159,28,155,18,155,2495,159,0.788193041526375,159,17557,22275,0.086739666341799,155,1513,17443,0.068570133695898,155,1513,22065,0.164562118126273,155,404,2455,0.771943887775551,159,1926,2495,2021/09/10,POINT (-85.730977 44.874798),2,159,11,159,15,159,27,159,27,159,25,159,32,159,29,159,4,159,0,155,3,155,2,155,3,155,5,155,8,155,1,155,7,155,0,155,20,155,4007,3356,3477,1030,1,163
MN,15,90,26,15,90,26,27,130,9748,131,7544,131,848,130,92,131,30,130,3,130,1,130,733,131,219,130,211,131,815,130,735,131,33,130,28,130,935,131,0.773902338941321,131,7544,9748,0.114316527365867,130,848,7418,0.088619500470269,130,848,9569,0.243604004449388,130,219,899,0.783957219251337,131,733,935,2021/09/10,POINT (-94.198308 46.349153),1,131,9,131,10,131,13,131,16,131,15,131,12,131,15,131,1,131,0,130,4,130,1,130,5,130,6,130,7,130,1,130,6,130,0,130,1,130,1892,1305,658,668,0,7
MO,30,70,24,32,68,24,6,120,15436,124,12147,124,1927,120,187,124,153,120,2,120,34,120,1554,124,536,120,530,124,1861,120,1690,124,66,120,42,120,1857,124,0.786926664939103,124,12147,15436,0.16134974462028,120,1927,11943,0.127135976776407,120,1927,15157,0.300448430493274,120,536,1784,0.836833602584814,124,1554,1857,2021/09/10,POINT (-92.477244 38.3675),2,124,12,124,12,124,30,124,35,124,38,124,35,124,23,124,0,124,6,120,12,120,8,120,12,120,27,120,22,120,37,120,29,120,0,120,29,120,3276,2063,416,508,0,3
MS,11,84,2,14,81,2,11,95,7725,97,5179,97,1184,95,67,97,30,95,2,95,8,95,746,97,383,95,387,97,1156,95,1109,97,28,95,17,95,812,97,0.67042071197411,97,5179,7725,0.23125,95,1184,5120,0.155115943927682,95,1184,7633,0.487277353689567,95,383,786,0.91871921182266,97,746,812,2021/09/10,POINT (-89.65344 32.713378),0,97,5,97,6,97,8,97,12,97,17,97,15,97,4,97,0,97,1,95,1,95,4,95,4,95,5,95,4,95,6,95,4,95,1,95,23,95,9244,803,1002,3775,0,239
MT,7,56,1,8,55,1,0,63,2772,64,1954,64,409,63,77,64,10,63,1,63,0,63,190,64,95,63,94,64,389,63,379,64,20,63,4,63,239,64,0.704906204906205,64,1954,2772,0.210607621009269,63,409,1942,0.149106817353263,63,409,2743,0.407725321888412,63,95,233,0.794979079497908,64,190,239,2021/09/10,POINT (-109.645127 47.033521),0,64,5,64,12,64,6,64,11,64,16,64,18,64,9,64,0,64,0,63,0,63,0,63,2,63,2,63,2,63,1,63,3,63,0,63,7,63,502,1010,266,293,0,12
NC,13,94,12,13,94,12,27,115,21780,119,17184,119,3465,115,304,119,150,115,10,115,7,115,2140,119,978,115,984,119,3408,115,3323,119,57,115,43,115,2426,119,0.788980716253444,119,17184,21780,0.204316292234212,115,3465,16959,0.161237785016287,115,3465,21490,0.41353065539112,115,978,2365,0.882110469909316,119,2140,2426,2021/09/10,POINT (-79.130883 35.52603),2,119,16,119,38,119,34,119,76,119,66,119,43,119,29,119,0,119,2,115,14,115,16,115,16,115,26,115,26,115,23,115,27,115,0,115,52,115,581,720,140,300,77,0
ND,13,33,1,12,34,1,51,46,1983,47,1510,47,210,46,20,47,16,46,0,46,6,46,150,47,46,46,44,47,204,46,184,47,6,46,1,46,199,47,0.761472516389309,47,1510,1983,0.141223940820444,46,210,1487,0.107307102708227,46,210,1957,0.235897435897436,46,46,195,0.753768844221106,47,150,199,2021/09/10,POINT (-100.46931 47.446305),0,47,3,47,1,47,0,47,4,47,3,47,7,47,3,47,0,47,0,46,1,46,2,46,5,46,2,46,4,46,2,46,1,46,0,46,2,46,1195,214,193,266,11,14
NE,17,79,1,21,75,1,2,96,3950,97,2822,97,426,96,48,97,14,96,3,96,1,96,388,97,114,96,112,97,413,96,386,97,13,96,11,96,471,97,0.714430379746835,97,2822,3950,0.15312724658519,96,426,2782,0.10939907550077,96,426,3894,0.248366013071895,96,114,459,0.823779193205945,97,388,471,2021/09/10,POINT (-99.810595 41.527099),0,97,1,97,3,97,8,97,11,97,7,97,12,97,6,97,0,97,1,96,3,96,2,96,1,96,1,96,0,96,2,96,4,96,0,96,3,96,1472,788,703,431,30,23
NH,5,20,4,6,19,4,0,29,2861,29,2105,29,148,29,19,29,11,29,0,29,2,29,179,29,39,29,38,29,147,29,136,29,1,29,0,29,273,29,0.735756728416638,29,2105,2861,0.070308788598575,29,148,2105,0.051730164278224,29,148,2861,0.142857142857143,29,39,273,0.655677655677656,29,179,273,2021/09/10,POINT (-71.57139 43.680429),0,29,3,29,2,29,0,29,0,29,2,29,2,29,10,29,0,29,1,29,1,29,0,29,1,29,3,29,1,29,1,29,3,29,0,29,1,29,337,105,276,39,0,0
NJ,8,62,11,7,61,13,93,80,21863,81,15149,81,1185,80,144,81,97,80,1,80,2,80,1287,81,218,80,211,81,1165,80,1072,81,20,80,3,80,2943,81,0.692905822622696,81,15149,21863,0.078482018676734,80,1185,15099,0.054382744378155,80,1185,21790,0.074478988725658,80,218,2927,0.437308868501529,81,1287,2943,2021/09/10,POINT (-74.655514 40.110253),1,81,6,81,26,81,18,81,25,81,24,81,20,81,20,81,4,81,0,80,4,80,4,80,6,80,5,80,18,80,9,80,9,80,42,80,14,80,1249,276,970,370,0,145
NM,17,33,1,18,32,1,1,50,4222,51,3028,50,424,50,52,51,10,50,0,50,0,50,383,50,149,50,149,51,419,50,392,51,5,50,5,50,465,51,0.730518697225573,50,3028,4145,0.142085723928451,49,421,2963,0.103037667071689,50,424,4115,0.336343115124154,50,149,443,0.841758241758242,50,383,455,2021/09/10,POINT (-106.108388 34.421369),0,51,4,50,6,50,11,50,8,50,9,50,5,50,8,50,1,51,0,50,0,49,2,49,1,49,1,49,2,49,1,49,2,49,1,50,7,50,261,22,61,19,0,0
NV,3,14,5,3,14,5,2,20,3433,22,2966,22,444,20,30,22,44,20,0,20,0,20,343,22,106,20,117,22,442,20,425,22,2,20,2,20,393,22,0.863967375473347,22,2966,3433,0.15546218487395,20,444,2856,0.134382566585956,20,444,3304,0.296918767507003,20,106,357,0.872773536895674,22,343,393,2021/09/10,POINT (-114.916992 39.283294),0,22,1,22,2,22,4,22,1,22,9,22,9,22,2,22,2,22,1,20,3,20,3,20,7,20,5,20,9,20,9,20,7,20,0,20,8,20,82,51,0,19,0,0
NY,7,159,9,7,159,9,130,166,45482,175,35838,175,2923,166,295,175,105,166,9,166,23,166,3488,175,576,166,534,175,2862,166,2455,175,61,166,36,166,4964,175,0.787960072116442,175,35838,45482,0.08228240063056,166,2923,35524,0.06511327437571,166,2923,44891,0.118713932399011,166,576,4852,0.702659145850121,175,3488,4964,2021/09/10,POINT (-75.59655 42.921241),5,175,17,175,30,174,23,175,51,175,67,174,53,175,37,175,12,174,2,166,10,166,11,166,5,166,15,166,19,166,24,166,16,166,3,165,32,166,6550,4638,5235,1670,0,439
OH,28,153,15,29,152,15,34,192,29053,196,21566,196,3757,192,468,196,175,192,13,192,111,192,3085,196,922,192,913,196,3560,192,3301,196,197,192,79,192,4093,196,0.742298557808144,196,21566,29053,0.175955414012739,192,3757,21352,0.130700991476779,192,3757,28745,0.229011425732737,192,922,4026,0.753725873442463,196,3085,4093,2021/09/10,POINT (-82.70936 40.415534),3,196,22,196,44,196,57,196,109,196,108,196,73,196,50,196,1,196,2,192,9,192,6,192,21,192,29,192,29,192,30,192,19,192,2,192,39,192,763,837,780,121,0,14
OK,45,87,2,49,83,2,4,132,8619,134,6196,134,1462,132,280,134,71,132,6,132,1,132,789,134,384,132,399,134,1425,132,1389,134,37,132,37,132,927,134,0.718876899872375,134,6196,8619,0.24237400530504,132,1462,6032,0.173428232502966,132,1462,8430,0.437856328392246,132,384,877,0.851132686084142,134,789,927,2021/09/10,POINT (-97.508297 35.583449),1,134,19,134,25,134,32,134,65,134,52,134,46,134,24,134,16,134,2,132,17,132,8,132,10,132,11,132,14,132,6,132,3,132,0,132,28,132,4099,2628,1479,1343,0,39
OR,3,52,7,8,47,7,12,60,6887,62,5218,62,1130,60,109,62,61,60,3,60,3,60,625,62,254,60,250,62,1117,60,1039,62,13,60,11,60,816,62,0.757659358211122,62,5218,6887,0.221135029354207,60,1130,5110,0.168129742597828,60,1130,6721,0.321112515802781,60,254,791,0.76593137254902,62,625,816,2021/09/10,POINT (-120.605279 43.940449),1,62,6,61,7,61,18,61,16,61,27,61,9,61,20,61,5,62,1,60,6,59,7,59,1,59,6,59,12,59,14,59,14,59,0,60,28,60,1248,103,119,232,6,0
PA,27,178,6,32,173,6,18,205,28355,211,23208,211,2636,205,280,211,300,205,7,204,27,204,2745,211,593,205,572,211,2552,205,2232,211,84,205,37,205,3375,211,0.81847998589314,211,23208,28355,0.114698459664085,205,2636,22982,0.094203416482024,205,2636,27982,0.181345565749235,205,593,3270,0.813333333333333,211,2745,3375,2021/09/10,POINT (-77.838886 40.896694),3,208,15,208,24,208,25,208,54,207,56,208,53,208,37,208,13,203,1,201,26,202,30,201,22,201,47,201,61,200,60,201,48,201,5,197,35,205,5367,6987,3663,858,538,193
WY,11,16,2,11,16,2,0,27,1598,29,765,29,221,27,27,29,31,27,1,27,1,27,92,29,51,27,51,29,219,27,216,29,2,27,2,27,138,29,0.478723404255319,29,765,1598,0.296644295302013,27,221,745,0.142857142857143,27,221,1547,0.386363636363636,27,51,132,0.666666666666667,29,92,138,2021/09/10,POINT (-107.55145 42.999627),0,29,0,29,5,29,3,29,5,29,6,29,2,29,6,29,0,29,0,27,2,27,5,27,5,27,5,27,7,27,4,27,3,27,0,27,4,27,752,490,256,111,0,0
