state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
NY,96,182,57764,191,41356,191,3218,182,472,191,272,182,1,182,34,182,4050,191,535,182,437,191,3136,182,2396,191,82,182,25,182,6967,190,0.7159476490547746,191,41356,57764,0.07838838546234045,182,3218,41052,0.05635924200497391,182,3218,57098,0.07833089311859444,181,535,6830,0.5813118989522033,190,4050,6967,2020-11-11
OH,53,215,32615,220,22398,220,3601,216,506,220,347,216,4,216,66,216,2847,220,806,216,756,220,3528,216,3198,220,73,216,30,216,3898,220,0.686739230415453,220,22398,32615,0.16234615211216807,216,3601,22181,0.11153095673181157,216,3601,32287,0.21016949152542372,216,806,3835,0.7303745510518215,220,2847,3898,2020-11-11
OK,25,151,11283,153,7593,153,1290,151,277,153,76,151,4,151,9,151,908,153,363,151,378,153,1260,151,1217,153,30,151,30,151,1192,153,0.6729593193299654,153,7593,11283,0.1760130986492018,151,1290,7329,0.11778670562454346,151,1290,10952,0.3232413178984862,151,363,1123,0.761744966442953,153,908,1192,2020-11-11
OR,5,62,6814,64,4924,64,450,62,45,64,73,62,1,62,35,62,544,64,95,62,76,64,437,62,334,64,13,62,6,62,823,64,0.7226298796595245,64,4924,6814,0.09318699523710913,62,450,4829,0.06774047869938281,62,450,6643,0.11949685534591195,62,95,795,0.660996354799514,64,544,823,2020-11-11
PA,37,217,35723,223,26145,223,3323,217,346,223,404,217,3,217,20,217,2993,223,757,217,731,223,3272,217,2843,223,51,217,29,217,3764,223,0.7318814209332922,223,26145,35723,0.12816754734446717,217,3323,25927,0.0939496748657054,217,3323,35370,0.20700027344818156,217,757,3657,0.7951647183846972,223,2993,3764,2020-11-11
AK,9,24,1623,24,1004,24,153,24,18,24,7,24,1,24,1,24,103,24,30,24,23,24,140,24,122,24,8,24,7,24,140,24,0.618607516943931,24,1004,1623,0.15239043824701196,24,153,1004,0.09426987060998152,24,153,1623,0.21428571428571427,24,30,140,0.7357142857142858,24,103,140,2020-11-11
AL,23,109,15579,115,11185,115,1400,109,184,111,86,109,0,109,9,109,1256,115,385,109,346,111,1385,109,1214,111,15,109,7,109,1514,115,0.7179536555619744,115,11185,15579,0.1248379329505464,108,1348,10798,0.08950268906447115,108,1348,15061,0.2556084296397009,108,376,1471,0.8295904887714664,115,1256,1514,2020-11-11
AR,6,106,9909,107,6439,108,898,106,128,108,194,106,1,106,10,106,763,108,238,106,236,108,886,106,734,108,12,106,3,106,1032,108,0.6498133010394591,107,6439,9909,0.14240405962575325,106,898,6306,0.09253915910964551,105,898,9704,0.24236252545824846,106,238,982,0.7393410852713178,108,763,1032,2020-11-11
AZ,18,119,16043,122,11644,122,1588,119,185,122,205,119,4,119,5,119,1211,122,356,119,300,122,1568,119,1168,122,20,119,14,119,1978,122,0.7257994140746743,122,11644,16043,0.13875054608999562,119,1588,11445,0.10078060544519896,119,1588,15757,0.18619246861924685,119,356,1912,0.6122345803842265,122,1211,1978,2020-11-11
CA,23,403,66428,411,47426,411,4480,401,575,411,578,403,3,401,19,400,5376,409,1115,400,1043,408,4421,401,3779,408,59,399,36,398,7513,409,0.7139459264165713,411,47426,66428,0.09575309380810909,401,4480,46787,0.06854345165238677,401,4480,65360,0.1538992408557626,400,1115,7245,0.7155596965260216,409,5376,7513,2020-11-11
CO,8,101,11645,103,7839,103,1403,101,208,103,175,101,5,101,11,101,949,103,382,101,352,103,1368,101,1199,103,35,101,20,101,1315,103,0.6731644482610563,103,7839,11645,0.18119591889448533,101,1403,7743,0.12190459640281519,101,1403,11509,0.29681429681429683,101,382,1287,0.7216730038022814,103,949,1315,2020-11-11
CT,12,31,8340,32,6308,32,850,31,96,32,103,31,0,31,4,31,577,32,131,31,120,32,843,31,696,32,7,31,3,31,1077,32,0.7563549160671463,32,6308,8340,0.1362179487179487,31,850,6240,0.10298037315241096,31,850,8254,0.12417061611374408,31,131,1055,0.5357474466109564,32,577,1077,2020-11-11
DC,5,13,3555,14,2863,14,208,13,11,14,87,13,1,13,12,13,260,14,44,13,31,14,191,13,112,14,17,13,5,13,367,14,0.8053445850914205,14,2863,3555,0.07492795389048991,13,208,2776,0.06080093539900614,13,208,3421,0.12753623188405797,13,44,345,0.7084468664850136,14,260,367,2020-11-11
DE,1,14,3043,15,2151,15,186,14,16,15,19,14,4,14,1,14,152,15,31,14,31,15,183,14,168,15,3,14,3,14,180,15,0.7068682221491949,15,2151,3043,0.08703790360318203,14,186,2137,0.061773497177017606,14,186,3011,0.1781609195402299,14,31,174,0.8444444444444444,15,152,180,2020-11-11
FL,58,256,55864,262,41144,262,4171,256,424,262,315,256,4,255,8,255,4469,262,792,252,748,258,4132,256,3216,262,39,256,29,256,6045,262,0.7365029357009881,262,41144,55864,0.10301308965176587,256,4171,40490,0.07610202890089038,256,4171,54808,0.13860693034651733,252,792,5714,0.7392886683209264,262,4469,6045,2020-11-11
GA,8,168,22615,171,17105,171,2047,168,370,171,108,167,20,168,145,168,2161,171,518,168,492,171,1992,168,1712,171,55,168,58,168,2627,171,0.7563564006190582,171,17105,22615,0.12123186259994077,168,2047,16885,0.09171557865495766,168,2047,22319,0.20139968895800933,168,518,2572,0.8226113437381043,171,2161,2627,2020-11-11
HI,0,24,2627,23,1789,24,90,24,10,24,17,24,0,24,0,24,136,24,15,24,14,24,90,24,75,24,0,24,0,24,238,24,0.6764370003806623,23,1777,2627,0.05030743432084964,24,90,1789,0.03425961172440046,23,90,2627,0.06302521008403361,24,15,238,0.5714285714285714,24,136,238,2020-11-11
IA,5,124,8309,126,5320,126,1405,124,253,126,21,124,6,124,0,124,567,126,256,124,256,126,1393,124,1379,126,12,124,11,124,683,126,0.6402695871946082,126,5320,8309,0.2683346065699007,124,1405,5236,0.1710910862152947,124,1405,8212,0.3855421686746988,124,256,664,0.8301610541727672,126,567,683,2020-11-11
WY,1,28,1553,30,775,30,205,28,31,30,26,28,1,28,0,28,62,30,28,28,29,30,200,28,194,30,5,28,4,28,126,30,0.4990341274951706,30,775,1553,0.2729693741677763,28,205,751,0.13522427440633245,28,205,1516,0.23529411764705882,28,28,119,0.49206349206349204,30,62,126,2020-11-11
