state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
LA,41,176,6,44,173,6,0,217,14166,223,8885,223,335,223,46,218,7,218,2,218,1,218,1133,223,106,223,103,223,326,223,384,223,9,223,3,223,1863,223,0.627205986164055,223,8885,14166,0.03770399549803,223,335,8885,0.023648171678667,223,335,14166,0.056897477187332,223,106,1863,0.608158883521202,223,1133,1863,2021/04/15,POINT (-91.840238 30.921314)
MA,8,70,1,7,71,1,5,78,16960,79,13310,79,600,78,83,79,69,78,1,78,2,78,977,79,171,78,164,79,591,78,534,79,9,78,6,78,1410,79,0.784787735849057,79,13310,16960,0.045402951191827,78,600,13215,0.035656979853806,78,600,16827,0.123733719247467,78,171,1382,0.69290780141844,79,977,1410,2021/04/15,POINT (-71.481104 42.151077)
MD,3,49,1,2,50,1,8,52,10759,53,8526,53,1487,52,162,53,225,52,1,52,8,52,990,53,352,52,321,53,1471,52,1222,53,16,52,11,52,1325,53,0.792452830188679,53,8526,10759,0.175581532648483,52,1487,8469,0.139545795795796,52,1487,10656,0.273291925465838,52,352,1288,0.747169811320755,53,990,1325,2021/04/15,POINT (-76.687282 38.946466)
ME,4,23,8,1,26,8,0,34,2954,35,2152,35,129,34,9,35,16,34,0,34,1,34,239,35,53,34,47,35,129,34,106,35,0,34,0,34,328,35,0.728503723764387,35,2152,2954,0.060992907801418,34,129,2115,0.044238683127572,34,129,2916,0.166666666666667,34,53,318,0.728658536585366,35,239,328,2021/04/15,POINT (-69.06137 45.117911)
MI,16,138,3,13,141,3,12,154,22177,157,17624,157,4414,154,502,157,75,154,5,154,7,153,2241,157,891,154,877,157,4347,154,4163,157,67,154,51,154,2754,157,0.794697208819948,157,17624,22177,0.251682061808644,154,4414,17538,0.200199564586357,154,4414,22048,0.326852531181218,154,891,2726,0.813725490196078,157,2241,2754,2021/04/15,POINT (-85.730977 44.874798)
MN,17,100,14,15,102,14,17,130,9602,131,7091,131,799,130,90,131,30,130,0,130,1,130,700,131,211,130,194,131,787,130,683,131,12,130,9,130,947,131,0.738491980837326,131,7091,9602,0.114551971326165,130,799,6975,0.084810529667764,130,799,9421,0.231613611416026,130,211,911,0.739176346356916,131,700,947,2021/04/15,POINT (-94.198308 46.349153)
MO,19,85,19,25,79,19,4,119,14778,123,10929,123,717,119,55,123,131,119,3,119,20,119,1303,123,166,119,121,123,672,119,446,123,45,119,15,119,1730,123,0.73954526999594,123,10929,14778,0.066573816155989,119,717,10770,0.049458508656964,119,717,14497,0.0996996996997,119,166,1665,0.753179190751445,123,1303,1730,2021/04/15,POINT (-92.477244 38.3675)
MS,10,87,2,13,84,2,0,97,8030,99,4820,99,243,97,26,99,16,97,0,97,6,97,569,99,81,97,58,99,237,97,166,99,6,97,2,97,832,99,0.600249066002491,99,4820,8030,0.050794314381271,97,243,4784,0.03053914792007,97,243,7957,0.099753694581281,97,81,812,0.683894230769231,99,569,832,2021/04/15,POINT (-89.65344 32.713378)
MT,5,59,1,5,59,1,3,64,2944,65,1722,65,73,64,3,65,9,64,4,64,0,64,121,65,15,64,14,65,67,64,64,65,6,64,3,64,210,65,0.58491847826087,65,1722,2944,0.042765084944347,64,73,1707,0.025042881646655,64,73,2915,0.073529411764706,64,15,204,0.576190476190476,65,121,210,2021/04/15,POINT (-109.645127 47.033521)
NC,3,110,5,8,105,5,15,114,22287,118,16255,118,1168,114,136,118,121,114,1,114,5,114,1824,118,281,114,265,118,1139,114,1037,118,29,114,18,114,2466,118,0.729348947817113,118,16255,22287,0.07260520917511,114,1168,16087,0.053074021902122,114,1168,22007,0.116742833402576,114,281,2407,0.739659367396594,118,1824,2466,2021/04/15,POINT (-79.130883 35.52603)
