state,date,new_results_reported_Inconclusive,new_results_reported_Negative,new_results_reported_Positive,total_results_reported_Inconclusive,total_results_reported_Negative,total_results_reported_Positive,inpatient_beds_used_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_covid,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_suspected,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_suspected,inpatient_beds_used_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,previous_day_admission_adult_covid_confirmed_coverage,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
NJ,2020-10-19,35.0,36298.0,1485.0,7374.0,3852985.0,133987.0,827.0,798.0,602.0,29.0,11.0,144.0,125.0,77.0,134.0,3.0,3.0,90.0,90.0,90.0,92.0,229169.0,,,1438.0,246.0,16214.0,14425.0,1789.0,3.0,0.0
NM,2020-10-19,2.0,4722.0,322.0,582.0,844997.0,38172.0,250.0,245.0,213.0,5.0,2.0,91.0,88.0,33.0,23.0,0.0,2.0,49.0,49.0,49.0,52.0,37302.0,,,514.0,0.0,935.0,,,1.0,0.0
NV,2020-10-19,4.0,5453.0,677.0,1537.0,1141469.0,127306.0,552.0,501.0,435.0,7.0,5.0,135.0,133.0,49.0,59.0,1.0,6.0,59.0,58.0,57.0,62.0,90940.0,,,583.0,1.0,1759.0,,,2.0,0.0
NY,2020-10-19,39.0,79891.0,2020.0,18275.0,12520186.0,600789.0,1745.0,1656.0,1042.0,89.0,16.0,315.0,210.0,110.0,231.0,4.0,13.0,169.0,167.0,163.0,179.0,486702.0,249349.0,6845.0,956.0,-19.0,33099.0,19292.0,4652.0,10.0,0.0
OH,2020-10-19,75.0,29604.0,1619.0,6722.0,3802999.0,198782.0,1669.0,1629.0,1148.0,47.0,8.0,429.0,314.0,181.0,243.0,2.0,37.0,204.0,201.0,199.0,211.0,183624.0,172997.0,10627.0,1837.0,85.0,5075.0,4767.0,308.0,8.0,0.0
OK,2020-10-19,0.0,3485.0,1285.0,1022.0,796344.0,186664.0,946.0,931.0,820.0,15.0,12.0,318.0,313.0,194.0,96.0,3.0,3.0,147.0,146.0,146.0,149.0,116084.0,106763.0,9321.0,921.0,171.0,1637.0,1599.0,38.0,18.0,1.0
OR,2020-10-19,597.0,5659.0,370.0,24311.0,1098919.0,45546.0,190.0,180.0,130.0,10.0,5.0,46.0,36.0,13.0,58.0,2.0,32.0,61.0,61.0,59.0,64.0,39794.0,38074.0,1720.0,262.0,0.0,628.0,613.0,15.0,8.0,0.0
PA,2020-10-19,15.0,16257.0,1090.0,4765.0,3904278.0,241744.0,1360.0,1321.0,1052.0,22.0,8.0,322.0,283.0,188.0,327.0,1.0,14.0,201.0,196.0,189.0,212.0,183315.0,176054.0,7261.0,1103.0,97.0,8500.0,,,8.0,2.0
PR,2020-10-19,6.0,996.0,99.0,477.0,212917.0,10348.0,393.0,353.0,226.0,40.0,9.0,61.0,45.0,18.0,71.0,0.0,7.0,65.0,65.0,65.0,66.0,58643.0,29585.0,29058.0,693.0,246.0,769.0,586.0,183.0,0.0,0.0
PW,2020-10-19,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0
